inoc_time,inoc_ratio,xylan_conc,butanol
110,0.5,80,14.252040782
110,1.0,80,15.583055558
110,1.5,80,15.495252725
110,2.0,80,15.237262426
122,0.5,80,13.472694754
122,1.0,80,15.111499145
122,1.5,80,15.076421695
122,2.0,80,14.815062951
134,0.5,80,12.473457053
134,1.0,80,14.557532117
134,1.5,80,14.639214293
134,2.0,80,14.396307606
146,0.5,80,11.165696675
146,1.0,80,13.817765213
146,1.5,80,14.148337011
146,2.0,80,13.967387298
158,0.5,80,9.3984447703
158,1.0,80,12.647165388
158,1.5,80,13.455572843
158,2.0,80,13.465733267
160,0.5,80,9.0447070937
160,1.0,80,12.377505604
160,1.5,80,13.293860373
160,2.0,80,13.360635184
172,0.5,80,6.4524397163
172,1.0,80,9.9437931551
172,1.5,80,11.607334229
172,2.0,80,12.258747664
